Karthy +Hidden on 2018/6/20 20:16:52
Count 300: 2112
Count 100: 22
Count 50: 0
Count Geki: 244
Count Katu: 7
Count Miss: 0
Total Score: 184581341
Max Combo: 2636
Is fullcombo: False
Mods: Hidden
3409(3): (311.5555,179.1111) None 0
3413(4): (313.3333,176.8889) None 2.84582928768628
3428(15): (316.4445,181.7778) None 5.79489118387039
3446(18): (319.1111,188) None 6.76953824881298
3462(16): (320.4445,192.4444) None 4.64010244896963
3478(16): (320.8889,197.7778) None 5.35188683245751
3496(18): (320.8889,200) None 2.22219848632813
3512(16): (319.5555,201.3333) None 1.88562168046693
3529(17): (317.7778,201.3333) None 1.7777099609375
3547(18): (315.5555,200) None 2.59157401074818
3563(16): (310.6667,195.5556) None 6.60706206112171
3578(15): (307.1111,193.3333) None 4.19293891072362
3604(26): (304,191.1111) None 3.82324463733385
3612(8): (303.5555,189.3333) None 1.83252510793657
3628(16): (301.7778,185.3333) None 4.37724259154281
3645(17): (301.3333,182.6667) None 2.70338702206695
3662(17): (300.4445,179.5556) None 3.23557528526981
3679(17): (301.7778,176.4444) None 3.38486730012325
3697(18): (304.8889,173.7778) None 4.09750837701532
3713(16): (311.1111,174.2222) None 6.23807842579413
3728(15): (312.8889,169.7778) None 4.78676656680772
3746(18): (314.2222,164.8889) None 5.06745243045364
3762(16): (315.1111,166.2222) None 1.60245265711772
3778(16): (315.1111,171.5556) None 5.33340454101563
3797(19): (315.1111,172.8889) None 1.33329772949219
3813(16): (314.6667,173.7778) None 0.993811023072057
3828(15): (313.7778,173.7778) None 0.888885498046875
3845(17): (312.8889,174.2222) None 0.9938110243606
3863(18): (311.1111,176.4444) None 2.84581022332677
3878(15): (309.3333,176.8889) None 1.83252880909525
3896(18): (307.5555,177.3333) None 1.83250290349567
3913(17): (304.4445,178.2222) None 3.23552288603701
3928(15): (302.2222,177.7778) None 2.26628808561984
3938(10): (301.7778,177.7778) K2 0.44439697265625
3947(9): (301.3333,177.3333) K2 0.628612490612456
3962(15): (299.5555,175.5556) K2 2.51411548582412
3978(16): (297.7778,172.4444) K2 3.58327445501186
3987(9): (296.4445,170.6667) None 2.22214355494106
3996(9): (296,169.3333) None 1.40553823114315
4011(15): (295.5555,167.5556) None 1.83242148624451
4029(18): (298.2222,170.6667) None 4.09757954398514
4047(18): (302.2222,175.5556) None 6.31675158686734
4060(13): (307.5555,180.4444) K1 7.23495222311064
4063(3): (307.5555,180.4444) K1 0
4078(15): (308.8889,183.1111) None 2.98147401228141
4079(1): (308,182.6667) None 0.993783727952959
4096(17): (304.4445,177.7778) None 6.04508167490481
4110(14): (301.7778,174.6667) K2 4.09757954398514
4113(3): (301.7778,174.6667) K2 0
4128(15): (299.1111,172) K2 3.77127572818549
4146(18): (296.4445,170.2222) K2 3.20491377745048
4163(17): (294.6667,168.4444) K2 2.51419101184218
4178(15): (292.4445,167.1111) None 2.59149550416512
4178(0): (292.4445,167.1111) None 0
