Rafis +None on 8/20/2017 5:28:19 PM
Count 300: 2102
Count 100: 31
Count 50: 0
Count Geki: 233
Count Katu: 17
Count Miss: 1
Total Score: 165637440
Max Combo: 2555
Is fullcombo: False
Mods: None
20(0): (148.8889,216) None 0
41(21): (160,194.2222) None 0
56(15): (168.4444,179.5556) None 16.923854838343
72(16): (179.5556,164.4444) None 18.7565308204089
90(18): (196.4444,148.4444) None 23.2643796591962
106(16): (202.2222,142.2222) None 8.49109794635847
123(17): (204.8889,137.7778) None 5.18304596256753
140(17): (206.6667,133.7778) None 4.37727977424496
156(16): (207.5556,130.2222) None 3.66503171112605
173(17): (207.5556,127.1111) None 3.11109924316406
190(17): (205.7778,124.8889) None 2.84582928768628
206(16): (203.1111,124.8889) None 2.66670227050781
223(17): (200.4444,125.3333) None 2.70347732907779
240(17): (198.2222,125.3333) None 2.22219848632813
256(16): (197.3333,125.3333) None 0.888900756835938
273(17): (197.3333,124.4444) None 0.888900756835938
290(17): (197.3333,124) None 0.44439697265625
307(17): (197.3333,124) None 0
323(16): (197.3333,124) None 0
341(18): (197.7778,124) None 0.444503784179688
355(14): (197.7778,124) None 0
373(18): (197.7778,124) None 0
391(18): (196.4444,124) None 1.33340454101563
406(15): (195.1111,124.8889) None 1.60244419277943
423(17): (194.6667,124.8889) None 0.44439697265625
440(17): (194.6667,125.3333) None 0.44439697265625
456(16): (194.6667,125.7778) None 0.444503784179688
473(17): (194.6667,126.6667) None 0.888900756835938
491(18): (194.2222,128.8889) None 2.2662192583219
507(16): (194.2222,129.7778) None 0.888900756835938
523(16): (194.2222,130.6667) None 0.888900756835938
541(18): (193.7778,131.1111) None 0.628472225808014
555(14): (193.3333,131.1111) None 0.444503784179688
572(17): (192.8889,131.1111) None 0.44439697265625
590(18): (192.4444,131.1111) None 0.444503784179688
605(15): (192,131.1111) None 0.44439697265625
623(18): (191.5556,131.5556) None 0.628547757498268
640(17): (191.5556,132) None 0.44439697265625
656(16): (190.6667,132.8889) None 1.25709550592109
673(17): (190.2222,133.3333) None 0.628547757498268
691(18): (190.2222,133.7778) None 0.444503784179688
706(15): (190.2222,133.7778) None 0
723(17): (190.2222,133.7778) None 0
741(18): (190.2222,134.2222) None 0.44439697265625
755(14): (190.2222,135.1111) None 0.888900756835938
773(18): (190.2222,136.4444) None 1.33329772949219
790(17): (190.2222,136.8889) None 0.444503784179688
806(16): (190.2222,136.8889) None 0
823(17): (190.2222,136.4444) None 0.444503784179688
841(18): (190.2222,134.6667) None 1.77769470214844
856(15): (189.3333,134.6667) None 0.888900756835938
873(17): (188,134.2222) None 1.40544172757859
890(17): (188,133.3333) None 0.888900756835938
907(17): (188,133.3333) None 0
923(16): (188,133.3333) None 0
941(18): (188,133.3333) None 0
956(15): (188,133.3333) None 0
973(17): (188,133.3333) None 0
990(17): (188,133.3333) None 0
1007(17): (188,133.3333) None 0
1023(16): (188,133.3333) None 0
1041(18): (188,133.3333) None 0
1056(15): (188,133.3333) None 0
1073(17): (188,133.3333) None 0
1091(18): (188,133.3333) None 0
1106(15): (188,133.3333) None 0
1122(16): (188,133.3333) None 0
1140(18): (188,133.3333) None 0
1155(15): (188,133.3333) None 0
1173(18): (188,133.3333) None 0
1191(18): (188,133.3333) None 0
1206(15): (188,133.3333) None 0
1223(17): (188,133.3333) None 0
1241(18): (188,133.3333) None 0
1256(15): (188,133.3333) None 0
1272(16): (188,133.3333) None 0
1291(19): (188,133.3333) None 0
1306(15): (188,133.3333) None 0
1323(17): (188,133.3333) None 0
1341(18): (188,133.3333) None 0
1355(14): (188,133.3333) None 0
1373(18): (188,133.3333) None 0
1391(18): (188,133.3333) None 0
1406(15): (188,133.3333) None 0
1423(17): (188,133.3333) None 0
1441(18): (188,133.3333) None 0
1456(15): (188,133.3333) None 0
1473(17): (188,133.3333) None 0
1491(18): (188,133.3333) None 0
1506(15): (188,133.3333) None 0
1523(17): (188,133.3333) None 0
1541(18): (188,133.3333) None 0
1555(14): (188,133.3333) None 0
1573(18): (188,133.3333) None 0
1590(17): (188,133.3333) None 0
1606(16): (188,133.3333) None 0
1623(17): (188,133.3333) None 0
1641(18): (188,133.3333) None 0
1656(15): (188,133.3333) None 0
1673(17): (188,133.3333) None 0
1691(18): (188,133.3333) None 0
1706(15): (188,133.3333) None 0
1723(17): (188,133.3333) None 0
1741(18): (188,133.3333) None 0
1756(15): (188,133.3333) None 0
1773(17): (188,133.3333) None 0
1791(18): (188,133.3333) None 0
1806(15): (188,133.3333) None 0
1823(17): (188,133.3333) None 0
1841(18): (188,133.3333) None 0
1856(15): (188,133.3333) None 0
1873(17): (188,133.3333) None 0
1891(18): (188,133.3333) None 0
1906(15): (188,133.3333) None 0
1923(17): (188,133.3333) None 0
1941(18): (188,133.3333) None 0
1956(15): (188,133.3333) None 0
1972(16): (188,133.3333) None 0
1991(19): (188,133.3333) None 0
2006(15): (188,133.3333) None 0
2023(17): (188,133.3333) None 0
2041(18): (188,133.3333) None 0
2056(15): (188,133.3333) None 0
2072(16): (188,133.3333) None 0
2091(19): (188,133.3333) None 0
2106(15): (188,133.3333) None 0
2123(17): (188,133.3333) None 0
2141(18): (188,133.3333) None 0
2156(15): (188,133.3333) None 0
2172(16): (188,133.3333) None 0
2191(19): (188,133.3333) None 0
2206(15): (188,133.3333) None 0
2223(17): (188,133.3333) None 0
2241(18): (188,133.3333) None 0
2256(15): (188,133.3333) None 0
2272(16): (188,133.3333) None 0
2291(19): (188,133.3333) None 0
2306(15): (188,133.3333) None 0
2323(17): (188,133.3333) None 0
2341(18): (188,133.3333) None 0
2357(16): (188,133.3333) None 0
2373(16): (188,133.3333) None 0
2391(18): (188,133.3333) None 0
2406(15): (188,133.3333) None 0
2423(17): (188,133.3333) None 0
2441(18): (188,133.3333) None 0
2455(14): (188,133.3333) None 0
2473(18): (188,133.3333) None 0
2490(17): (188,133.3333) None 0
2505(15): (188,133.3333) None 0
2523(18): (188,133.3333) None 0
2541(18): (188,133.3333) None 0
2555(14): (188,133.3333) None 0
2573(18): (188,133.3333) None 0
2591(18): (188,133.3333) None 0
2606(15): (188,133.3333) None 0
2623(17): (188,133.3333) None 0
2641(18): (188,133.3333) None 0
2656(15): (188,133.3333) None 0
2673(17): (188,133.3333) None 0
2691(18): (188,133.3333) None 0
2706(15): (188,133.3333) None 0
2723(17): (188,133.3333) None 0
2741(18): (188,133.3333) None 0
2756(15): (188,133.3333) None 0
2773(17): (188,133.3333) None 0
2791(18): (188,133.3333) None 0
2806(15): (188,133.3333) None 0
2823(17): (188,133.3333) None 0
2841(18): (188,133.3333) None 0
2856(15): (188,133.3333) None 0
2873(17): (188,133.3333) None 0
2892(19): (188,133.3333) None 0
2906(14): (188,133.3333) None 0
2923(17): (188,133.3333) None 0
2941(18): (188,133.3333) None 0
2956(15): (188,133.3333) None 0
2973(17): (188,133.3333) None 0
2990(17): (188,133.3333) None 0
3006(16): (188,133.3333) None 0
3023(17): (188,133.3333) None 0
3040(17): (188,133.3333) None 0
3056(16): (188,133.3333) None 0
3073(17): (188,133.3333) None 0
3090(17): (188,133.3333) None 0
3107(17): (188,133.3333) None 0
3123(16): (188,133.3333) None 0
3140(17): (188,133.3333) None 0
3156(16): (188,133.3333) None 0
3173(17): (188,133.3333) None 0
3191(18): (188,133.3333) None 0
3206(15): (188,133.3333) None 0
3223(17): (188,133.3333) None 0
3241(18): (188,133.3333) None 0
3255(14): (188,133.3333) None 0
3273(18): (188,133.3333) None 0
3291(18): (188,133.3333) None 0
3305(14): (188,133.3333) None 0
3323(18): (188,133.3333) None 0
3341(18): (188,133.3333) None 0
3355(14): (188,133.3333) None 0
3373(18): (188,133.3333) None 0
3391(18): (188,133.3333) None 0
3405(14): (188,133.3333) None 0
3423(18): (188,133.3333) None 0
3440(17): (188,133.3333) None 0
3455(15): (188,133.3333) None 0
3473(18): (188,133.3333) None 0
3490(17): (188,133.3333) None 0
3505(15): (188,133.3333) None 0
3523(18): (188,133.3333) None 0
3541(18): (188,133.3333) None 0
3555(14): (188,133.3333) None 0
3573(18): (188,133.3333) None 0
3591(18): (188,133.3333) None 0
3605(14): (188,133.3333) None 0
3623(18): (188,133.3333) None 0
3641(18): (188,133.3333) None 0
3655(14): (188,133.3333) None 0
3673(18): (188,133.3333) None 0
3691(18): (188,133.3333) None 0
3705(14): (188,133.3333) None 0
3723(18): (188,133.3333) None 0
3741(18): (188,133.3333) None 0
3756(15): (188,133.3333) None 0
3773(17): (188,133.3333) None 0
3791(18): (188,133.3333) None 0
3806(15): (188,133.3333) None 0
3823(17): (188,133.3333) None 0
3841(18): (188,133.3333) None 0
3856(15): (188,133.3333) None 0
3872(16): (188,133.3333) None 0
3891(19): (188,133.3333) None 0
3906(15): (188,133.3333) None 0
3923(17): (188,133.3333) None 0
3941(18): (188,133.3333) None 0
3956(15): (188,133.3333) None 0
3972(16): (188,133.3333) None 0
3991(19): (188,133.3333) None 0
4006(15): (188,133.3333) None 0
4023(17): (188,133.3333) None 0
